N,X,Y
355,384426,2954225
356,424449,2952088
357,403938,2953903
358,410966,2952617
359,436243,2951301
360,431155,2951828
361,421744,2952839
362,437716,2954924
363,421893,2954743
364,426895,2955018
365,413076,2954472
366,406001,2957298
367,407673,2957025
368,417877,2957974
369,434426,2958172
370,422042,2957900
371,411802,2959006
372,394831,2948950
373,374342,2960379
374,426443,2919210
375,432058,2922543
376,417405,2915449
377,418376,2917706
378,421194,2918091
379,420517,2921429
380,415116,2929289
381,416399,2931215
382,415460,2931397
383,408415,2929207
384,409496,2930878
385,413469,2931534
386,414340,2933760
387,413910,2935175
388,414179,2935776
389,407353,2933846
390,409561,2934965
391,411076,2935090
392,409938,2937046
393,411318,2937169
394,412519,2937087
395,412554,2937410
396,412560,2938244
397,411026,2939232
398,412585,2939168
399,411436,2940682
400,417270,2944052
401,417628,2945758
402,415870,2943879
403,415637,2945644
404,413733,2942507
405,414715,2942636
406,414681,2943466
407,413703,2944014
408,438101,2936622
409,435103,2938289
410,436551,2940402
411,438603,2940893
412,430326,2945303
413,429817,2947559
414,395101,2924346
415,385758,2926408
416,398170,2939082
417,398338,2941732
418,406687,2938638
419,406903,2940634
420,407764,2942233
421,407231,2942895
422,404000,2944677
423,404298,2944571
424,405479,2945833
425,405253,2944688
426,407784,2945386
427,405768,2948808
428,404543,2947528
429,410197,2947594
430,407557,2951100
431,408620,2953983
432,413066,2950698
433,416893,2953521
434,399038,2952783
435,401732,2957986
436,398782,2944460
437,398060,2945801
438,418528,2934558
439,419562,2931826
440,421052,2935838
441,421239,2931586
442,381741,3014969
443,392528,3015728
444,352980,3032177
445,350541,3033805
446,349216,3034160
447,360505,3032574
448,345612,3033376
449,343598,3033656
450,345721,3035625
451,333957,3035516
452,333097,3035964
453,353512,3035221
454,349854,3035984
455,345647,3036585
456,343563,3036093
457,345588,3037926
458,343758,3037993
459,332313,3039130
460,384502,3033270
461,372790,3034931
462,367656,3037134
463,372714,3039547
464,347775,3038298
465,350029,3038800
466,344888,3039632
467,346321,3039722
468,349923,3040526
469,351730,3038206
470,360263,3038449
471,339204,3039768
472,344972,3041253
473,346154,3042179
474,345114,3042200
475,346437,3041522
476,344525,3042235
477,348606,3041264
478,340728,3041361
479,339009,3041776
480,335824,3039514
481,335609,3042332
482,334262,3042154
483,353869,3039450
484,331747,3041004
485,345151,3042532
486,347461,3042652
487,342410,3042910
488,333885,3043167
489,352430,3042889
490,345132,3044625
491,351617,3044716
492,358026,3044398
493,346374,3045586
494,348094,3045522
495,347695,3044789
496,343291,3045530
497,345202,3045929
498,340649,3045848
499,330111,3044351
500,351888,3047121
501,349807,3046502
502,348039,3047052
503,364025,3041456
504,343868,3046727
505,352655,3049240
506,359160,3046946
507,349727,3049995
508,346594,3050996
509,349674,3051461
510,347932,3049682
511,343140,3051112
512,382474,3045530
513,355421,3051663
514,350026,3053142
515,348739,3053078
516,350154,3055204
517,392070,3053140
518,389428,3055248
519,374937,3055476
520,358145,3055629
521,349330,3057254
522,347188,3055751
523,381480,3022913
524,357313,3030956
525,362554,3030913
526,357105,3033491
527,357363,3036921
528,357040,3039484
529,350753,3031428
530,349617,3031308
531,347881,3031364
532,347730,3032894
533,347774,3035684
534,347817,3036574
535,343785,3040010
536,342308,3040244
537,343789,3041725
538,342355,3041740
539,339219,3043328
540,337859,3044890
541,341831,3037807
542,339486,3037950
543,341574,3035972
544,337065,3037530
545,513052,3001981
546,527467,3006392
547,519237,3009214
548,511905,3008706
549,515703,3011568
550,519211,3011678
551,515582,3015326
552,524992,3012610
553,512040,3015228
554,523761,3021753
555,510735,3029382
556,523969,3043518
557,500919,3046800
558,519567,3052733
559,397242,3063460
560,409430,3063222
561,432159,3063323
562,445936,3066836
563,465882,3066121
564,423026,3073398
565,445772,3074457
566,398993,3072007
567,416102,3076676
568,462407,3077423
569,445364,3081597
570,452850,3077578
571,442040,3082970
572,416994,3085140
573,408090,3077824
574,418697,3086324
575,417261,3086393
576,422042,3083127
577,432906,3086906
578,443716,3087032
579,432860,3078045
580,441546,3087156
581,417714,3088700
582,399685,3085008
583,402141,3088706
584,410959,3089366
585,405469,3091575
586,398295,3091110
587,440371,3091492
588,444158,3090604
589,407121,3093490
590,403575,3092734
591,400023,3094134
592,436629,3094004
593,439896,3094225
594,396939,3094958
595,426564,3093840
596,407584,3095922
597,405091,3095911
598,402339,3095855
599,410857,3094199
600,401979,3097318
601,430271,3096414
602,426289,3096922
603,424188,3096430
604,400322,3097641
605,413290,3097794
606,407394,3097952
607,410317,3098151
608,409410,3098923
609,418048,3098792
610,404999,3098614
611,440216,3097544
612,435067,3097312
613,428745,3098853
614,431642,3098774
615,410190,3099612
616,428070,3100021
617,405033,3100072
618,428080,3100472
619,427030,3098876
620,397532,3098742
621,398898,3100462
622,397011,3101286
623,407664,3100036
624,443726,3098424
625,402078,3099335
626,428305,3101470
627,430344,3101260
628,403489,3101381
629,407354,3102208
630,404829,3101866
631,405189,3101201
632,426320,3101964
633,406600,3101654
634,405149,3102532
635,398747,3101672
636,406461,3102805
637,406066,3102652
638,409683,3101938
639,405644,3102734
640,405380,3102924
641,422064,3099990
642,413396,3100854
643,407973,3103209
644,406073,3103286
645,405721,3103350
646,403634,3102983
647,406963,3103078
648,405202,3103344
649,401233,3102498
650,419094,3102152
651,423632,3102729
652,405170,3104153
653,402847,3104440
654,418975,3104627
655,414298,3104186
656,426249,3103979
657,434037,3103012
658,404713,3105572
659,403083,3106241
660,401919,3105694
661,398178,3104891
662,442357,3104109
663,438286,3103758
664,404647,3106653
665,425593,3106548
666,403148,3107157
667,405900,3106250
668,401583,3107313
669,437698,3107961
670,431878,3107348
671,421027,3107716
672,398548,3108619
673,443381,3107814
674,408920,3107109
675,402702,3109240
676,402401,3111654
677,408337,3110006
678,405195,3110976
679,409187,3112981
680,438371,3112226
681,440951,3113217
682,403538,3113492
683,401117,3114330
684,424956,3110743
685,418266,3116501
686,401339,3117128
687,432806,3114684
688,422621,3120721
689,395844,3125978
690,396802,3115334
691,427445,3130770
692,409104,3126215
693,416355,3113048
694,416112,3114008
695,420854,3111884
696,419819,3087880
697,435223,3131772
698,451484,3111439
699,454322,3110577
700,452026,3095630
701,450667,3106128
702,418907,3107044
703,418487,3111086
704,414631,3109254
705,430763,3088216
706,424098,3088425
707,429340,3088968
708,432384,3088787
709,439017,3088042
710,431387,3090723
711,423961,3089852
712,433769,3090349
713,429692,3092202
714,413686,3095649
715,421807,3096868
716,444080,3114380
717,445979,3123540
718,440053,3118714
719,441197,3125392
720,439127,3125908
721,437002,3125011
722,361995,2984371
723,362230,2986534
724,369620,2982524
725,375157,2989767
726,366479,2989251
727,361036,2992424
728,393199,2992371
729,389889,2991762
730,386991,2992958
731,382550,2992558
732,378276,2993730
733,359354,2991989
734,356235,2996086
735,387692,2996194
736,382646,2996572
737,378807,2997232
738,364208,2996900
739,357453,2997882
740,357296,2997319
741,356943,2998379
742,357281,2998747
743,364524,2998682
744,379057,2998680
745,372714,2994704
746,382991,2998764
747,356720,2999082
748,356182,2998039
749,355428,3000236
750,357074,3000718
751,357844,3002362
752,356495,3002095
753,353784,3004767
754,356867,3004495
755,391826,3009294
756,352962,3004450
757,381124,3004322
758,363854,3002679
759,351722,3010980
760,358392,3015446
761,350427,3015844
762,358167,3017848
763,355019,3017995
764,347154,3017505
765,347880,3018117
766,359595,3018914
767,354872,3019534
768,352584,3019630
769,350956,3019635
770,346083,3020330
771,346248,3020584
772,347888,3020085
773,346386,3021033
774,348978,3020694
775,345673,3018164
776,348001,3021700
777,345913,3022132
778,345682,3022148
779,345476,3022642
780,346066,3022698
781,343997,3023025
782,355751,3022206
783,345630,3023482
784,344284,3022084
785,348090,3024132
786,347352,3023012
787,366863,3019880
788,344042,3024432
789,349410,3023974
790,347611,3024476
791,352732,3026020
792,349435,3026811
793,347745,3026035
794,356343,3026308
795,349452,3028291
796,347744,3028844
797,346696,3030072
798,346104,3027892
799,339304,3028639
800,342440,3024512
801,367422,2994339
802,363798,2994510
803,360428,2995240
804,360938,2997065
805,358968,2997572
806,360879,2993311
807,360444,2999768
808,358604,2999467
809,355910,3008720
810,354013,3011354
811,356011,3013175
812,354617,3013452
813,352597,3014538
814,350899,3017904
815,351348,3018485
816,349370,3017728
817,348916,3018492
818,349569,3019649
819,349453,3019722
820,353005,3017945
821,352100,3017695
822,349356,3022001
823,351057,3022298
824,349371,3022712
825,352586,3022227
826,352774,3023835
827,351033,3023897
828,355907,3023920
829,354260,3024000
830,359600,3021711
831,359950,3023887
832,359421,3026424
833,357709,3028668
834,375428,3024148
835,366677,3027944
836,349457,3025604
837,349282,3026176
838,354426,3027311
839,352343,3028335
840,373699,3262863
841,375716,3263234
842,351946,3265930
843,396084,3271207
844,366470,3276911
845,367880,3277588
846,371389,3277954
847,369421,3278355
848,370853,3278768
849,365860,3278328
850,370089,3279404
851,342827,3276846
852,372339,3280172
853,371456,3280543
854,370745,3280422
855,366952,3280943
856,368040,3280898
857,371484,3281501
858,355139,3276808
859,372756,3282168
860,371463,3282700
861,370799,3282180
862,363989,3282997
863,375152,3282236
864,373535,3284156
865,371751,3284222
866,370820,3284393
867,368793,3283826
868,366382,3283136
869,364256,3284207
870,370778,3285283
871,397718,3287442
872,342280,3284981
873,346503,3287956
874,353423,3291199
875,355181,3294641
876,382505,3289758
877,359637,3290219
878,354544,3296519
879,349095,3294283
880,345979,3300702
881,391119,3295935
882,360409,3297800
883,368099,3297603
884,342241,3296140
885,344562,3301965
886,347938,3300934
887,354325,3302875
888,359407,3303018
889,365866,3304656
890,348246,3305701
891,359193,3308764
892,352829,3309192
893,388508,3259594
894,379603,3264173
895,375029,3265139
896,384616,3265443
897,357194,3264596
898,368584,3265803
899,389550,3271341
900,380888,3268455
901,350447,3275148
902,368843,3275100
903,359769,3276820
904,363724,3277866
905,374349,3278105
906,378802,3279750
907,375737,3275000
908,348752,3278918
909,362961,3280366
910,361522,3280104
911,359038,3280459
912,389677,3277858
913,395774,3278234
914,361000,3282723
915,353917,3283416
916,357967,3283755
917,383663,3283158
918,349599,3283391
919,373040,3285805
920,368889,3285843
921,366466,3285904
922,369025,3286918
923,388314,3284065
924,395523,3284332
925,357124,3287039
926,352995,3287466
927,367465,3287811
928,356306,3289446
929,372644,3289993
930,380790,3295160
931,385958,3299065
932,384557,3301890
933,373233,3301408
934,365462,3280206
935,363353,3281471
936,368093,3281832
937,369717,3281826
938,368274,3279838
939,367739,3280435
940,360589,3270182
941,363404,3274106
942,367780,3271516
943,366814,3274373
944,364225,3285979
945,360842,3286243
946,369897,3280564
947,369674,3279893
948,376662,3346212
949,366554,3345083
950,389128,3346285
951,393419,3343195
952,384035,3345426
953,383221,3348096
954,397367,3347658
955,390295,3349192
956,392676,3348662
957,393978,3349775
958,394214,3353931
959,375921,3380750
960,390109,3352782
961,384020,3352940
962,361438,3339822
963,383098,3340293
964,370216,3339822
965,373183,3364587
966,377297,3350136
967,398557,3292312
968,394708,3298660
969,385227,3303762
970,375755,3305063
971,366684,3308287
972,392464,3306631
973,397152,3307981
974,394653,3313217
975,396258,3317650
976,397991,3325274
977,387729,3306379
978,391555,3312583
979,369884,3309966
980,391732,3313716
981,391810,3314671
982,381114,3310936
983,392843,3316785
984,392138,3318222
985,374705,3314376
986,387717,3317474
987,389703,3318521
988,382613,3319397
989,386921,3322337
990,392736,3321468
991,384476,3324310
992,389331,3325568
993,393085,3329916
994,398621,3288427
995,398977,3293678
996,400683,3291348
997,399576,3295120
998,399653,3296249
999,398961,3299865
1000,399951,3313393
1001,418415,3311555
1002,405772,3313344
1003,434419,3319056
1004,400369,3316611
1005,431493,3319314
1006,411446,3319312
1007,432427,3321842
1008,420448,3320047
1009,415671,3322171
1010,426532,3328412
1011,424307,3331175
1012,424407,3332672
1013,432760,3329309
1014,429963,3331726
1015,411505,3333751
